判定,優先度,推奨運用,競馬場,芝ダ,距離,該当頭数,複勝圏内数,複勝率%,単勝回収率%,複勝回収率%,コース全体頭数,コース全体複勝率%,平均との差%,リフト,該当ルール数,採用スコア,判定理由
除外,D,現時点では使用しない,阪神,芝,3140,31,11,35.48,81.29,96.77,198,27.27,8.21,1.301,2,79.9,該当頭数不足
除外,D,現時点では使用しない,札幌,芝,2600,60,19,31.67,96.83,92.67,739,25.17,6.5,1.258,2,78.8,該当頭数不足
除外,D,現時点では使用しない,小倉,ダ,1700,433,92,21.25,88.43,92.49,5412,20.51,0.74,1.036,2,77.4,複勝率不足・リフト不足
除外,D,現時点では使用しない,福島,芝,1200,588,134,22.79,76.53,73.72,4540,19.93,2.86,1.143,2,77.1,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,東京,芝,1600,416,105,25.24,46.3,64.81,4377,22.57,2.67,1.118,1,77.0,リフト不足・複勝回収率不足
除外,D,現時点では使用しない,函館,ダ,1000,10,4,40.0,79.0,52.0,878,25.97,14.03,1.54,2,76.8,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,小倉,芝,1200,1231,268,21.77,84.54,76.43,6013,19.03,2.75,1.144,2,76.8,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,中京,ダ,1900,117,33,28.21,47.69,53.16,1597,21.6,6.6,1.306,2,76.5,複勝回収率不足
除外,D,現時点では使用しない,中山,芝,1600,460,114,24.78,45.35,63.3,4751,22.06,2.72,1.123,1,76.4,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,京都,芝,2200,131,37,28.24,71.83,65.5,1019,26.2,2.04,1.078,2,76.3,リフト不足・複勝回収率不足
除外,D,現時点では使用しない,阪神,芝,1800,340,91,26.76,55.38,64.88,2410,26.8,-0.04,0.998,2,75.9,リフト不足・複勝回収率不足
除外,D,現時点では使用しない,中京,芝,3300,6,2,33.33,0.0,106.67,56,26.79,6.55,1.244,2,75.6,該当頭数不足
除外,D,現時点では使用しない,函館,芝,2000,39,13,33.33,35.13,77.69,997,25.68,7.66,1.298,2,75.3,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,京都,芝,3000,29,9,31.03,132.07,71.38,248,20.56,10.47,1.509,2,74.9,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,東京,芝,1800,251,63,25.1,50.08,61.71,3488,24.8,0.3,1.012,2,74.1,リフト不足・複勝回収率不足
除外,D,現時点では使用しない,中山,芝,1200,689,143,20.75,101.32,77.87,3520,20.48,0.27,1.013,2,73.6,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,阪神,芝,1200,508,116,22.83,89.72,65.55,2003,21.82,1.02,1.047,2,73.6,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,東京,芝,2500,60,16,26.67,37.83,78.17,339,19.76,6.9,1.349,2,73.5,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,京都,芝,1800,285,75,26.32,60.46,57.19,1815,27.27,-0.96,0.965,2,73.3,リフト不足・複勝回収率不足
除外,D,現時点では使用しない,新潟,芝,1200,288,61,21.18,47.81,59.06,1431,18.66,2.52,1.135,2,72.7,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,東京,芝,1400,298,58,19.46,95.1,83.72,4134,20.66,-1.19,0.942,1,72.3,複勝率不足・リフト不足
除外,D,現時点では使用しない,新潟,芝,1600,199,42,21.11,24.12,64.32,1802,20.14,0.96,1.048,2,71.9,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,中山,ダ,1800,9,2,22.22,246.67,150.0,7817,20.7,1.52,1.074,1,71.7,該当頭数不足・複勝率不足・リフト不足
除外,D,現時点では使用しない,京都,ダ,1200,466,94,20.17,93.76,69.42,3530,19.86,0.31,1.016,2,71.5,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,新潟,芝,3250,37,11,29.73,46.22,74.86,118,22.88,6.85,1.299,2,71.4,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,京都,芝,3200,43,12,27.91,33.26,60.47,126,19.05,8.86,1.465,2,71.1,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,新潟,芝,1000,387,70,18.09,54.5,74.44,3090,17.96,0.13,1.007,2,70.5,複勝率不足・リフト不足・複勝回収率不足
